Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
10,2Cod_20_HCA,13,17,100,15,98,100,5,alwaysonboth
10,2Cod_20_HCA,14,17,100,15,98,100,5,alwaysonboth
10,2Cod_20_HCA,15,99,100,15,98,100,5,alwaysonboth
10,2Cod_20_HCA,16,99,100,15,20,100,2,alwaysonboth
11,1Cod_19,1,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,2,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,3,99,100,15,98,100,5,alwaysonboth
11,1Cod_19,4,17,100,15,21,100,1,alwaysonboth
11,1Cod_19,5,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,6,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,7,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,8,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,9,17,100,15,19,100,1,alwaysonboth
11,1Cod_19,10,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,11,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,12,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,13,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,14,17,100,15,98,100,5,alwaysonboth
11,1Cod_19,15,99,100,15,98,100,5,alwaysonboth
11,1Cod_19,16,17,100,15,19,100,1,alwaysonboth
12,2Cod_19,1,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,2,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,3,99,100,15,98,100,5,alwaysonboth
12,2Cod_19,4,17,100,15,21,100,1,alwaysonboth
12,2Cod_19,5,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,6,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,7,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,8,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,9,17,100,15,19,100,2,alwaysonboth
12,2Cod_19,10,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,11,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,12,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,13,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,14,17,100,15,98,100,5,alwaysonboth
12,2Cod_19,15,99,100,15,98,100,5,alwaysonboth
12,2Cod_19,16,17,100,15,19,100,2,alwaysonboth
